active_months_L5M,avg_L1M_value,avg_L3M_value,avg_L5M_items_log,avg_L5M_skus,avg_L5M_value,avg_gap_L5M,avg_items_per_cat_L3M,avg_items_per_cat_L5M,cancel_rate_L5M,cnt_L1M_orders,cnt_L3M_orders,cv_L5M_value,global_cancel_val_ratio,recency_days,spend_velocity,std_L1M_value,std_L3M_value,sum_L1M_items_log,sum_L1M_value,sum_L3M_items_log,sum_L3M_value,tenure_days,label,snapshot_date
3,0.0,0.0,64.85365620273463,18.6,1360.496,10.0,0.9990009990009991,2.7804755920381776,0.3999200159968006,0.0,2.0,2.239385140967307,0.0439993417244262,90,0.0,0.0,144.08007773457092,0.0,0.0,2.5649493574615367,0.0,130,1,2010-09-30
2,0.0,336.24,127.28535802169864,47.0,1331.4899999999998,16.0,1.7495626093476628,8.123573172695828,0.0,0.0,1.0,1.0570826599292245,0.0,76,0.0,0.0,0.0,0.0,0.0,20.298678687390968,336.24,92,0,2010-09-30
3,254.8,210.675,18.20846355172434,10.5,174.4125,31.666666666666668,3.249187703074231,2.6241941312813664,0.2499375156210947,1.0,2.0,0.7622259885416058,0.0141712960398712,10,1.8141687433250264,0.0,62.40217343971282,28.53756531248805,254.8,54.17124050335002,421.35,298,1,2010-09-30
5,127.0,182.46,16.583332726786068,7.666666666666667,219.4177777777778,13.0,2.435360364895688,2.2344487188394253,0.2221975336073769,1.0,6.0,0.9464246508819276,0.0154089038810186,28,0.3480214841609119,0.0,217.94813107709825,3.044522437723423,127.0,102.0371513687912,1094.76,258,1,2010-09-30
2,973.69,563.0450000000001,77.28224863819031,30.5,563.0450000000001,27.0,7.30808998525534,7.30808998525534,0.0,1.0,2.0,1.031425013801181,0.0,14,2.5939933753074795,0.0,580.7397283206997,122.77092790645382,973.69,154.56449727638062,1126.09,41,0,2010-09-30
3,115.30800000000002,130.3816666666667,23.196528241488185,9.25,183.91875,16.142857142857142,2.221470709102326,2.3088207546864434,0.1249843769528809,5.0,6.0,0.9196696711721518,0.030666962682758,7,2.210970356261744,93.5498405664061,91.45791762699754,87.6892321448273,576.5400000000001,109.66647830442132,782.2900000000001,302,1,2010-09-30
2,28.116666666666664,58.1925,9.63511105292475,4.75,58.1925,10.333333333333334,1.6742029903865303,1.6742029903865303,0.4998750312421894,3.0,4.0,1.3994144984058825,0.0836545010058223,8,1.0871246294625594,67.2354135358245,81.43682761298273,13.30431986756957,84.35,38.540444211699,232.77,39,0,2010-09-30
2,0.0,1113.7,91.88987833421194,38.0,1342.37,14.0,8.248968878890139,5.374172017550543,0.0,0.0,1.0,0.2409082253027334,0.0,87,0.0,0.0,0.0,0.0,0.0,135.10185063224395,1113.7,101,0,2010-09-30
5,269.1871428571429,211.5046153846154,18.04113513808585,8.25,188.6995833333333,6.3478260869565215,2.4067030382574184,2.193541933882427,0.3749843756510145,7.0,13.0,1.347277683124236,0.0413429946280907,3,2.055939859468424,270.71209064947493,249.30449981282536,160.57203118102905,1884.31,252.40175973496656,2749.56,302,1,2010-09-30
5,328.07000000000005,413.504,63.72465132476279,30.25,456.1062500000001,19.857142857142858,3.753001276987104,4.652177328419892,0.4999375078115236,2.0,5.0,1.3504086499883663,0.0499870707418095,0,0.9520681783005728,525.1964906584964,409.1940828995454,88.45128990416498,656.1400000000001,276.11350770406995,2067.52,295,0,2010-09-30
5,170.98833333333334,230.1725,26.46147182679669,12.5,188.251,15.555555555555555,2.8070212568818804,2.670286063016352,0.4999500049995001,6.0,8.0,1.4151672390462515,0.0340554006330977,3,1.6714583627496769,293.90612299961805,283.3318528182608,145.55376119547174,1025.93,253.69735965521767,1841.38,231,1,2010-09-30
2,0.0,326.71,37.40512898748378,20.33333333333333,326.71,11.0,3.124369977140252,3.124369977140252,0.3332222592469177,0.0,3.0,1.4836835223738316,0.0122698931437567,42,0.0,0.0,484.7357272782768,0.0,0.0,112.21538696245132,980.13,301,0,2010-09-30
4,266.59000000000003,143.78,22.79062025347535,11.428571428571429,175.94,24.5,1.924502655690751,2.1947374031387974,0.285673475217826,1.0,4.0,0.90436878244295,0.0392089647099502,0,1.3906141327027404,0.0,125.65685470094076,31.01628791442037,266.59000000000003,68.1097862466406,575.12,302,1,2010-09-30
2,356.71500000000003,489.132,32.66361284594672,11.8,489.132,14.0,2.678921889807577,2.678921889807577,0.1999600079984003,4.0,5.0,0.9586778023346552,0.008214759097166,1,1.750275999116803,419.8659268941297,468.9209494893569,105.02665612093872,1426.86,163.3180642297336,2445.66,234,1,2010-09-30
3,0.0,114.17499999999998,14.340371429078736,8.75,90.61249999999998,21.666666666666668,2.0412743839535867,2.0202935747326785,0.4998750312421894,0.0,2.0,1.52923738272667,0.1567784767084101,56,0.0,0.0,206.08627137681927,0.0,0.0,34.95118649209393,228.35,300,0,2010-09-30
2,430.81,452.005,59.677204546808326,21.5,452.005,28.0,3.3090114176799696,3.3090114176799696,0.0,1.0,2.0,0.0663138463969454,0.0,17,1.4296633886793289,0.0,29.97425645449774,55.59429548363228,430.81,119.35440909361664,904.01,207,1,2010-09-30
4,752.61,752.61,48.67459054225228,18.666666666666668,519.0316666666666,29.6,3.338837751694408,3.0847492642270296,0.0,2.0,2.0,0.4961439986438179,0.0,1,3.0,60.14650280772769,60.14650280772769,129.55290166270484,1505.22,129.55290166270484,1505.22,297,1,2010-09-30
3,0.0,755.17,34.52382159418365,16.25,315.73,31.666666666666668,5.427796029138694,3.168933542385281,0.2499375156210947,0.0,1.0,1.0356197266346292,0.0166957014471294,52,0.0,0.0,0.0,0.0,0.0,85.53769128276504,755.17,231,0,2010-09-30
5,487.84,306.985,28.594877109817723,10.285714285714286,321.4142857142857,21.83333333333333,2.236845542582865,2.002560814897265,0.142836737608913,1.0,4.0,0.5522459127364866,0.0020316016836958,16,1.191849764646481,0.0,240.35143346081105,44.23112726323265,487.84,113.10982994674583,1227.94,298,1,2010-09-30
3,0.0,140.28,37.101639837398885,12.666666666666666,224.98666666666668,53.0,1.9995001249687576,2.2376684550949584,0.0,0.0,1.0,0.9307596477122604,0.0,36,0.0,0.0,0.0,0.0,0.0,25.50814022515073,140.28,142,1,2010-09-30
3,70.97500000000001,90.35333333333334,5.792432836144966,3.8,94.08,33.25,1.7211212230163937,1.5325311081033004,0.3999200159968006,2.0,3.0,1.175514629016973,0.0285830067428835,9,1.5710543791042575,125.61751967779018,94.95493685603364,6.739336627357174,141.95000000000002,17.703215255741213,271.06,297,1,2010-09-30
5,183.28333333333333,308.02444444444444,27.992332589730804,11.428571428571429,329.11,10.076923076923077,2.0858952594640243,2.247426583781814,0.3571173487608028,3.0,9.0,0.9935941238455376,0.0168222555382178,16,0.5950285330890045,361.7232240724023,291.21403662560255,36.717383287541,549.85,220.97101718883505,2772.22,233,1,2010-09-30
2,0.0,652.97,95.29964805414552,43.5,652.97,14.0,5.127955685569372,5.127955685569372,0.4998750312421894,0.0,4.0,1.4918184093003646,0.0223097225845888,48,0.0,0.0,974.1141585392684,0.0,0.0,381.1985922165821,2611.88,90,0,2010-09-30
